FID,Id,class,site_code,class_ID
0,0,BRYOPHYTES,AUFEIS,1
1,0,BRYOPHYTES,AUFEIS,1
2,0,DECIDUOUS SHRUBS,AUFEIS,2
3,0,SHADOW,AUFEIS,8
4,0,EVERGREEN SHRUBS,AUFEIS,3
5,0,NON VEGETATED,AUFEIS,7
6,0,BRYOPHYTES,AUFEIS,1
7,0,NON VEGETATED,AUFEIS,7
8,0,NON VEGETATED,AUFEIS,7
9,0,FORBS,AUFEIS,4
10,0,DECIDUOUS SHRUBS,AUFEIS,2
11,0,DECIDUOUS SHRUBS,AUFEIS,2
12,0,GRAMINOIDS,AUFEIS,5
13,0,DECIDUOUS SHRUBS,AUFEIS,2
14,0,DECIDUOUS SHRUBS,AUFEIS,2
15,0,NON VEGETATED,AUFEIS,7
16,0,GRAMINOIDS,AUFEIS,5
17,0,DECIDUOUS SHRUBS,AUFEIS,2
18,0,DECIDUOUS SHRUBS,AUFEIS,2
19,0,DECIDUOUS SHRUBS,AUFEIS,2
20,0,GRAMINOIDS,AUFEIS,5
21,0,NON VEGETATED,AUFEIS,7
22,0,DECIDUOUS SHRUBS,AUFEIS,2
23,0,DECIDUOUS SHRUBS,AUFEIS,2
24,0,EVERGREEN SHRUBS,AUFEIS,3
25,0,DECIDUOUS SHRUBS,AUFEIS,2
26,0,DECIDUOUS SHRUBS,AUFEIS,2
27,0,BRYOPHYTES,AUFEIS,1
28,0,DECIDUOUS SHRUBS,AUFEIS,2
29,0,DECIDUOUS SHRUBS,AUFEIS,2
30,0,DECIDUOUS SHRUBS,AUFEIS,2
31,0,DECIDUOUS SHRUBS,AUFEIS,2
32,0,NON VEGETATED,AUFEIS,7
33,0,EVERGREEN SHRUBS,AUFEIS,3
34,0,DECIDUOUS SHRUBS,AUFEIS,2
35,0,EVERGREEN SHRUBS,AUFEIS,3
36,0,GRAMINOIDS,AUFEIS,5
37,0,NON VEGETATED,AUFEIS,7
38,0,EVERGREEN SHRUBS,AUFEIS,3
39,0,NON VEGETATED,AUFEIS,7
40,0,GRAMINOIDS,AUFEIS,5
41,0,BRYOPHYTES,AUFEIS,1
42,0,BRYOPHYTES,AUFEIS,1
43,0,DECIDUOUS SHRUBS,AUFEIS,2
44,0,NON VEGETATED,AUFEIS,7
45,0,NON VEGETATED,AUFEIS,7
46,0,BRYOPHYTES,AUFEIS,1
47,0,BRYOPHYTES,AUFEIS,1
48,0,GRAMINOIDS,AUFEIS,5
49,0,GRAMINOIDS,AUFEIS,5
50,0,NON VEGETATED,AUFEIS,7
51,0,EVERGREEN SHRUBS,AUFEIS,3
52,0,DECIDUOUS SHRUBS,AUFEIS,2
53,0,EVERGREEN SHRUBS,AUFEIS,3
54,0,NON VEGETATED,AUFEIS,7
55,0,GRAMINOIDS,AUFEIS,5
56,0,GRAMINOIDS,AUFEIS,5
57,0,NON VEGETATED,AUFEIS,7
58,0,DECIDUOUS SHRUBS,AUFEIS,2
59,0,DECIDUOUS SHRUBS,AUFEIS,2
60,0,GRAMINOIDS,AUFEIS,5
61,0,BRYOPHYTES,AUFEIS,1
62,0,NON VEGETATED,AUFEIS,7
63,0,EVERGREEN SHRUBS,AUFEIS,3
64,0,GRAMINOIDS,AUFEIS,5
65,0,GRAMINOIDS,AUFEIS,5
66,0,NON VEGETATED,AUFEIS,7
67,0,NON VEGETATED,AUFEIS,7
68,0,NON VEGETATED,AUFEIS,7
69,0,NON VEGETATED,AUFEIS,7
70,0,NON VEGETATED,AUFEIS,7
71,0,DECIDUOUS SHRUBS,AUFEIS,2
72,0,EVERGREEN SHRUBS,AUFEIS,3
73,0,GRAMINOIDS,AUFEIS,5
74,0,EVERGREEN SHRUBS,AUFEIS,3
75,0,DECIDUOUS SHRUBS,AUFEIS,2
76,0,DECIDUOUS SHRUBS,AUFEIS,2
77,0,GRAMINOIDS,AUFEIS,5
78,0,NON VEGETATED,AUFEIS,7
79,0,NON VEGETATED,AUFEIS,7
80,0,GRAMINOIDS,AUFEIS,5
81,0,DECIDUOUS SHRUBS,AUFEIS,2
82,0,GRAMINOIDS,AUFEIS,5
83,0,NON VEGETATED,AUFEIS,7
84,0,BRYOPHYTES,AUFEIS,1
85,0,FORBS,AUFEIS,4
86,0,FORBS,AUFEIS,4
87,0,DECIDUOUS SHRUBS,AUFEIS,2
88,0,DECIDUOUS SHRUBS,AUFEIS,2
89,0,EVERGREEN SHRUBS,AUFEIS,3
90,0,DECIDUOUS SHRUBS,AUFEIS,2
91,0,EVERGREEN SHRUBS,AUFEIS,3
92,0,EVERGREEN SHRUBS,AUFEIS,3
93,0,EVERGREEN SHRUBS,AUFEIS,3
94,0,BRYOPHYTES,AUFEIS,1
95,0,EVERGREEN SHRUBS,AUFEIS,3
96,0,GRAMINOIDS,AUFEIS,5
97,0,BRYOPHYTES,AUFEIS,1
98,0,DECIDUOUS SHRUBS,AUFEIS,2
99,0,DECIDUOUS SHRUBS,AUFEIS,2
100,0,DECIDUOUS SHRUBS,AUFEIS,2
101,0,EVERGREEN SHRUBS,AUFEIS,3
102,0,FORBS,BABBAGE,4
103,0,NON VEGETATED,BABBAGE,7
104,0,DECIDUOUS SHRUBS,BABBAGE,2
105,0,GRAMINOIDS,BABBAGE,5
106,0,DECIDUOUS SHRUBS,BABBAGE,2
107,0,FORBS,BABBAGE,4
108,0,SHADOW,BABBAGE,8
109,0,DECIDUOUS SHRUBS,BABBAGE,2
110,0,BRYOPHYTES,BABBAGE,1
111,0,GRAMINOIDS,BABBAGE,5
112,0,EVERGREEN SHRUBS,BABBAGE,3
113,0,DECIDUOUS SHRUBS,BABBAGE,2
114,0,GRAMINOIDS,BABBAGE,5
115,0,GRAMINOIDS,BABBAGE,5
116,0,GRAMINOIDS,BABBAGE,5
117,0,DECIDUOUS SHRUBS,BABBAGE,2
118,0,NON VEGETATED,BABBAGE,7
119,0,NON VEGETATED,BABBAGE,7
120,0,DECIDUOUS SHRUBS,BABBAGE,2
121,0,EVERGREEN SHRUBS,BABBAGE,3
122,0,EVERGREEN SHRUBS,BABBAGE,3
123,0,DECIDUOUS SHRUBS,BABBAGE,2
124,0,NON VEGETATED,BABBAGE,7
125,0,NON VEGETATED,BABBAGE,7
126,0,NON VEGETATED,BABBAGE,7
127,0,BRYOPHYTES,BABBAGE,1
128,0,BRYOPHYTES,BABBAGE,1
129,0,GRAMINOIDS,BABBAGE,5
130,0,DECIDUOUS SHRUBS,BABBAGE,2
131,0,DECIDUOUS SHRUBS,BABBAGE,2
132,0,SHADOW,BABBAGE,8
133,0,EVERGREEN SHRUBS,BABBAGE,3
134,0,SHADOW,BABBAGE,8
135,0,DECIDUOUS SHRUBS,BABBAGE,2
136,0,DECIDUOUS SHRUBS,BABBAGE,2
137,0,GRAMINOIDS,BABBAGE,5
138,0,GRAMINOIDS,BABBAGE,5
139,0,BRYOPHYTES,BABBAGE,1
140,0,FORBS,BABBAGE,4
141,0,EVERGREEN SHRUBS,BABBAGE,3
142,0,DECIDUOUS SHRUBS,BABBAGE,2
143,0,BRYOPHYTES,BABBAGE,1
144,0,NON VEGETATED,BABBAGE,7
145,0,NON VEGETATED,BABBAGE,7
146,0,EVERGREEN SHRUBS,BABBAGE,3
147,0,EVERGREEN SHRUBS,BABBAGE,3
148,0,EVERGREEN SHRUBS,BABBAGE,3
149,0,FORBS,BABBAGE,4
150,0,DECIDUOUS SHRUBS,BABBAGE,2
151,0,FORBS,BABBAGE,4
152,0,FORBS,BABBAGE,4
153,0,FORBS,BABBAGE,4
154,0,GRAMINOIDS,BABBAGE,5
155,0,EVERGREEN SHRUBS,BABBAGE,3
156,0,FORBS,BABBAGE,4
157,0,FORBS,BABBAGE,4
158,0,FORBS,BABBAGE,4
159,0,FORBS,BABBAGE,4
160,0,DECIDUOUS SHRUBS,BABBAGE,2
161,0,DECIDUOUS SHRUBS,BABBAGE,2
162,0,DECIDUOUS SHRUBS,BABBAGE,2
163,0,BRYOPHYTES,BABBAGE,1
164,0,SHADOW,BABBAGE,8
165,0,FORBS,BABBAGE,4
166,0,BRYOPHYTES,BABBAGE,1
167,0,BRYOPHYTES,BABBAGE,1
168,0,BRYOPHYTES,BABBAGE,1
169,0,EVERGREEN SHRUBS,BABBAGE,3
170,0,EVERGREEN SHRUBS,BABBAGE,3
171,0,EVERGREEN SHRUBS,BABBAGE,3
172,0,BRYOPHYTES,BABBAGE,1
173,0,EVERGREEN SHRUBS,BABBAGE,3
174,0,EVERGREEN SHRUBS,BABBAGE,3
175,0,EVERGREEN SHRUBS,BABBAGE,3
176,0,BRYOPHYTES,BABBAGE,1
177,0,SHADOW,BABBAGE,8
178,0,BRYOPHYTES,BABBAGE,1
179,0,SHADOW,BABBAGE,8
180,0,SHADOW,BABBAGE,8
181,0,SHADOW,BABBAGE,8
182,0,SHADOW,BABBAGE,8
183,0,DECIDUOUS SHRUBS,BABBAGE,2
184,0,FORBS,BABBAGE,4
185,0,EVERGREEN SHRUBS,BABBAGE,3
186,0,EVERGREEN SHRUBS,BABBAGE,3
187,0,EVERGREEN SHRUBS,BABBAGE,3
188,0,EVERGREEN SHRUBS,BABBAGE,3
189,0,EVERGREEN SHRUBS,BABBAGE,3
190,0,SHADOW,BABBAGE,8
191,0,SHADOW,BABBAGE,8
192,0,SHADOW,BABBAGE,8
193,0,GRAMINOIDS,BABBAGE,5
194,0,EVERGREEN SHRUBS,BABBAGE,3
195,0,SHADOW,BABBAGE,8
196,0,FORBS,BABBAGE,4
197,0,FORBS,BABBAGE,4
198,0,FORBS,BABBAGE,4
199,0,FORBS,BABBAGE,4
200,0,FORBS,BABBAGE,4
201,0,FORBS,BABBAGE,4
202,0,FORBS,BABBAGE,4
203,0,FORBS,BABBAGE,4
204,0,FORBS,BABBAGE,4
205,0,DECIDUOUS SHRUBS,CALF,2
206,0,FORBS,CALF,4
207,0,DECIDUOUS SHRUBS,CALF,2
208,0,EVERGREEN SHRUBS,CALF,3
209,0,GRAMINOIDS,CALF,5
210,0,FORBS,CALF,4
211,0,BRYOPHYTES,CALF,1
212,0,FORBS,CALF,4
213,0,BRYOPHYTES,CALF,1
214,0,DECIDUOUS SHRUBS,CALF,2
215,0,EVERGREEN SHRUBS,CALF,3
216,0,DECIDUOUS SHRUBS,CALF,2
217,0,FORBS,CALF,4
218,0,FORBS,CALF,4
219,0,GRAMINOIDS,CALF,5
220,0,FORBS,CALF,4
221,0,DECIDUOUS SHRUBS,CALF,2
