"","site_code","quadrat_num","PFT","weight_observed","cover_percent","cover_predicted","quad_label","weight_predicted_ci","weight_predicted","weight_predicted_lwr","weight_predicted_upr"
"1","AMSUMMIT","10m","DECIDUOUS SHRUBS",0,"0","2.43","AMSUMMIT 10m",0.960615865886211,1.55442197993398,1.11425342038274,2.0748692676425
"2","AMSUMMIT","10m","EVERGREEN SHRUBS",1.85,"0.01","0.74","AMSUMMIT 10m",0.200158745981753,0.472613349556923,0.377834027633071,0.577992774546146
"3","AMSUMMIT","10m","FORBS",1.86,"10","0.6","AMSUMMIT 10m",0.0984477670863271,0.0844847913831472,0.0424308101646602,0.140878573060036
"4","AMSUMMIT","10m","GRAMINOIDS",21.53,"85","90.02","AMSUMMIT 10m",10.6328297492582,26.772782912245,21.7261230699369,32.3589527837466
"5","AMSUMMIT","30m","DECIDUOUS SHRUBS",14.57,"0","1.63","AMSUMMIT 30m",0.274723778478801,0.625865537673235,0.496635318733752,0.771359087899327
"6","AMSUMMIT","30m","GRAMINOIDS",32.23,"92.51","89.1","AMSUMMIT 30m",7.12191705894656,18.0656665863935,14.7319590685365,21.8542599969078
"7","AMSUMMIT","50m","DECIDUOUS SHRUBS",23.08,"30","21.4","AMSUMMIT 50m",2.93693471053848,3.85775635996833,2.52123406319879,5.47235186537728
"8","AMSUMMIT","50m","FORBS",0.72,"0.01","3.03","AMSUMMIT 50m",0.59878604154801,0.538638414815068,0.281551701831631,0.880337733309716
"9","AMSUMMIT","50m","GRAMINOIDS",2.75,"25","24.94","AMSUMMIT 50m",1.13953379000304,2.7606910795439,2.22145702713169,3.36496160877869
"10","AMSUMMIT","70m","DECIDUOUS SHRUBS",1.28,"0.01","13.08","AMSUMMIT 70m",11.3209455711767,15.2356857489794,10.1337767355144,21.7669653333724
"11","AMSUMMIT","70m","EVERGREEN SHRUBS",0,"0","0.25","AMSUMMIT 70m",NA,NA,0.0905389115214348,0.194532409310341
"12","AMSUMMIT","70m","FORBS",8.69,"40","5.36","AMSUMMIT 70m",3.85319765843451,4.05873784422874,2.38725292310119,6.24045053496957
"13","AMSUMMIT","70m","GRAMINOIDS",32.91,"60","74.08","AMSUMMIT 70m",23.5632949867286,55.2028968734667,44.0138432057574,67.4412889694795
"14","AMSUMMIT","90m","DECIDUOUS SHRUBS",30.96,"25","43.95","AMSUMMIT 90m",47.7929127821699,63.8191690149251,42.1710316806566,89.7760318806395
"15","AMSUMMIT","90m","FORBS",5.02,"15","2.28","AMSUMMIT 90m",0.344445431604981,0.317776115611196,0.170007581822574,0.514453006908298
"16","AMSUMMIT","90m","GRAMINOIDS",21.16,"60","45.72","AMSUMMIT 90m",15.76658465527,32.3159858707804,24.9658626222517,40.7304599585477
"17","AUFEIS","10m","DECIDUOUS SHRUBS",2.133,"10","1.82","AUFEIS 10m",0.701964765787125,1.47807797323912,0.989846238400787,2.31256344076246
"18","AUFEIS","10m","EVERGREEN SHRUBS",7.965,"4","20.3","AUFEIS 10m",6.41039793757955,8.5262778585311,5.68163781031035,11.7350064627826
"19","AUFEIS","10m","FORBS",6.762,"4","1.34","AUFEIS 10m",0.0489042601548135,0.271671961527318,0.0809995830059052,0.351074618753046
"20","AUFEIS","10m","GRAMINOIDS",9.32,"70","64.36","AUFEIS 10m",6.62711106330971,14.8480997053557,12.1032179662143,18.2449325922062
"21","AUFEIS","30m","DECIDUOUS SHRUBS",2.826,"9","1.62","AUFEIS 30m",0.264036904554814,0.392133058514446,0.451658090110868,0.489665103144944
"22","AUFEIS","30m","EVERGREEN SHRUBS",3.417,"4","16.31","AUFEIS 30m",3.71258133632364,4.66316061577527,2.9702104148455,7.03016536304494
