id,site_code,sample_date,viereck_fine,viereck_coarse,photo_quality,lighting,georef_rmse,rgb_pt_dens,lat,long,land_cover_num,land_cover_text,cavm_cbvm_fine,cavm_cbvm_coarse,num_species
1,AMSUMMIT,9/5/2018,Mixed shrub-sedge tussock tundra,Open low scrub,MEDIUM,GOOD,0.014795,2770.08,64.598506,-141.248633,5,Low Shrub,Yukon Subalpine Spruce Woodlands and Scrub,Spruce Woodlands and Scrub,26
2,AUFEIS,7/31/2019,Wet sedge meadow tundra,Wet graminoid herbaceous,HIGH,SUNNY,0.013949,11694.7,68.78120923,-140.7050766,8,Herbaceous,Yukon Floodplain Spruce-Poplar Forests and Scrub,Spruce-Poplar Forests and Scrub,22
3,BABBAGE,7/15/2019,Mixed shrub-sedge tussock tundra,Open low scrub,HIGH,SUNNY,0.008778,7363.61,68.69702463,-139.0832576,4,Woodland,Nontussock sedge-dwarf shrub-moss tundra,Nontussock sedge-dwarf shrub-moss tundra,31
4,BLOWRIVER,7/19/2019,Low willow,Closed low scrub,HIGH,GOOD,0.016489,8697.61,68.77349652,-137.4567028,5,Low Shrub,Sedge-moss-low shrub wetland,Sedge-moss-low shrub wetland,20
5,BROWNSCREEK,8/5/2019,Dryas-lichen tundra,Dryas dwarf scrub,HIGH,GOOD,0.013949,9217.62,64.13627472,-140.8162525,8,Herbaceous,Yukon Subalpine Spruce Woodlands and Scrub,Spruce Woodlands and Scrub,29
6,BUTLER,8/2/2019,Dryas-lichen tundra,Dryas dwarf scrub,HIGH,GOOD,0.012749,7592.91,63.92106175,-140.649706,10,Sparsely Vegetated,Central-Northern Alaska-Yukon Alpine Dwarf Scrub and Meadows,Alpine Dwarf Scrub and Meadows,38
7,CALF,7/14/2019,Tussock tundra,Mesic graminoid herbaceous,HIGH,VARIABLE,0.042509,10221.6,69.47968941,-140.7763144,9,Tussock Tundra,Nontussock sedge-dwarf shrub-moss tundra,Nontussock sedge-dwarf shrub-moss tundra,25
8,COALCREEK,7/30/2019,Dryas-lichen tundra,Dryas dwarf scrub,HIGH,VARIABLE,0.007961,2461.98,64.56012475,-139.9063646,10,Sparsely Vegetated,Yukon Subalpine Spruce Woodlands and Scrub,Spruce Woodlands and Scrub,27
9,DEW,7/17/2019,Mesic shrub birch-ericaceous shrub,Open low scrub,HIGH,GOOD,0.04176,8340.99,68.85711164,-137.3321289,9,Tussock Tundra,Sedge-moss-low shrub wetland,Sedge-moss-low shrub wetland,30
10,EXCELSIOR,8/4/2019,Mesic shrub birch-ericaceous shrub,Open low scrub,HIGH,GOOD,0.013318,6116.13,62.76530464,-138.9786566,9,Tussock Tundra,Central-Northern Alaska-Yukon Alpine Dwarf Scrub and Meadows,Alpine Dwarf Scrub and Meadows,32
11,FIRTH,7/12/2019,White spruce,Needleleaf woodland,HIGH,SUNNY,0.014941,8227.67,69.16142138,-140.1472559,8,Herbaceous,Graminoid-prostrate dwarf shrub-forb tundra,Graminoid-prostrate dwarf shrub-forb tundra,26
13,FRYINGPAN,7/27/2018,Shrub birch-willow,Open low scrub,MEDIUM,GOOD,0.016414,34357.8,65.383798,-145.461601,9,Tussock Tundra,Central-Northern Alaska-Yukon Alpine Dwarf Scrub and Meadows,Alpine Dwarf Scrub and Meadows,31
